HR,Name,DM,SAO,B-V,Vmag,x,y,z,RAh,RAm,RAs,DEsn,DEd,DEm,DEs,SpType,pmRA,pmDE
8747,Zet Gru,217364,247680,0.98,4.12,0.5852103483390514,-0.7960460186507307,0.15440072664079918,23,0,52.8,-,52,45,15,G8-K0III,-0.067,-0.014
8748,,217382,3816,1.43,4.71,0.09451218156898401,0.9951351793217724,0.0278104730505483,22,54,24.8,+,84,20,46,K4III,0.092,0.026
8749,,217403,247683,1.42,5.68,0.6093247287295,-0.7765964799677596,0.16006649324704536,23,1,7.5,-,50,57,0,K3III,0.078,-0.006
8750,3    Psc,217428,146443,0.89,6.21,0.9666304204422126,0.0032433978400385837,0.25615446637949246,23,0,37.9,+,0,11,9,G4III,0.044,0.013
8751,,217459,127894,1.34,5.83,0.9653933916482065,0.05253929784610661,0.25545101593810665,23,0,42.9,+,3,0,42,K4III,0.011,-0.086
8752,,217476,35039,1.42,5.0,0.526906697734225,0.8381500100566118,0.14097479393464463,23,0,5.1,+,56,56,43,G40,0.0,-0.003
8753,,217477,72924,-0.04,6.6,0.8279191303065423,0.5162800769839826,0.21909996755333355,23,0,42.5,+,31,4,59,B9IIIpMn,0.031,0.005
8754,,217484,191581,1.35,5.55,0.8473062871542838,-0.48257341484238314,0.22179935760994318,23,1,19.4,-,28,51,13,K3III,0.066,-0.01
8755,,217491,52587,0.0,6.5,0.6789804988314988,0.7117196061551713,0.1801129768252609,23,0,34.4,+,45,22,30,A3V,0.01,0.002
8756,,217498,191585,0.13,6.28,0.8919353141888504,-0.3873680939768045,0.23323240570644205,23,1,23.0,-,22,47,27,A5V,0.026,-0.027
8757,81    Aqr,217531,146447,1.41,6.21,0.9601437085516638,-0.12292791378185741,0.25102347886581844,23,1,23.6,-,7,3,40,K5III,-0.015,-0.011
8758,,217543,72929,-0.11,6.54,0.7545504074489013,0.6253523755238904,0.1989675577709194,23,0,54.7,+,38,42,29,B3Vpe,0.001,-0.005
8759,,217563,146451,1.0,5.94,0.9643607544113861,-0.08213661222049852,0.251519208578672,23,1,31.7,-,4,42,41,K0,0.019,0.009
8760,,217642,214261,0.94,6.47,0.7795428546281012,-0.5937115150121776,0.19954842705522835,23,2,34.0,-,36,25,15,K1III,0.031,-0.035
8761,,217673,35062,1.5,6.2,0.5255033080722834,0.8396725282682863,0.137099666216336,23,1,30.7,+,57,6,20,K1.5II,-0.003,-0.007
8762,1Omi And,217675,52609,-0.09,3.62,0.7157117739406222,0.673349511888146,0.18535666020610977,23,1,55.3,+,42,19,34,B6IIIpe+A2p,0.023,-0.006
8763,82    Aqr,217701,146465,1.58,6.15,0.9623685522270379,-0.11448925016756535,0.24645279726654284,23,2,32.6,-,6,34,27,M2III,-0.004,-0.037
8764,,217703,191604,0.94,5.97,0.9053742281003582,-0.35625786221754663,0.23103645318404667,23,2,44.3,-,20,52,14,K0III-IV,-0.058,-0.117
8765,,217754,72949,0.35,6.57,0.8235046389749499,0.5266673374334898,0.2108592546402841,23,2,33.1,+,31,46,50,F2IV,0.005,-0.016
8766,2    And,217782,52623,0.09,5.1,0.7113262039983299,0.6789004219660422,0.18195946955203077,23,2,36.3,+,42,45,28,A3Vn,0.055,-0.004
8767,Pi  PsA,217792,214275,0.29,5.11,0.7968074002667056,-0.5699887956559772,0.20052615716375463,23,3,29.8,-,34,44,58,F0V+F3V,0.076,0.08
8768,,217811,52626,0.0,6.39,0.6963232060429109,0.6953973444624979,0.17764156619616875,23,2,45.2,+,44,3,32,B2V,0.001,-0.002
8769,,217831,255395,0.36,5.52,0.3508918627217802,-0.9324517268171515,0.08607367676212961,23,4,52.2,-,68,49,13,F4III,0.04,0.063
8770,,217833,35092,-0.08,6.5,0.552481913862908,0.8215115070669087,0.141005597800352,23,2,43.8,+,55,14,11,B9IIIHe wk,0.008,0.012
8771,,217842,231419,1.08,5.79,0.7269450219727239,-0.6623367797404509,0.18127582638654657,23,3,59.5,-,41,28,42,K0III,0.006,0.069
8772,,217877,146482,0.58,6.68,0.9668520974148326,-0.08359571377508619,0.24126495469291206,23,3,57.3,-,4,47,43,F8V,0.32,0.028
8773,4Bet Psc,217891,127934,-0.12,4.53,0.9680099550386139,0.06662219477334869,0.2419053742886313,23,3,52.6,+,3,49,12,B6Ve,0.013,-0.011
8774,Kap Gru,217902,247711,1.45,5.37,0.571212410277331,-0.8086577858742219,0.14067326572651648,23,4,39.6,-,53,57,54,K5III,0.055,-0.102
8775,53Bet Peg,217906,90981,1.67,2.42,0.8558513060378955,0.4707467062978642,0.21428037815661272,23,3,46.5,+,28,4,58,M2.5II-III,0.189,0.137
8776,,217926,127937,0.39,6.41,0.9638503408748946,0.11522610605035627,0.2402404314011725,23,4,1.0,+,6,37,0,F2V,0.003,0.019
8777,,217943,20393,-0.02,6.74,0.47828615429550797,0.8698849937020896,0.12059209070718105,23,3,23.7,+,60,26,43,B2V,0.007,-0.006
8778,,217944,35103,0.9,6.43,0.505688947178111,0.8532298429049516,0.1275833996971599,23,3,21.6,+,58,33,53,G8IV,0.067,0.017
8779,,218029,20398,1.26,5.24,0.3756761900942975,0.921925137833207,0.09445337700397775,23,3,32.9,+,67,12,33,K3III,0.026,0.007
8780,3    And,218031,52649,1.06,4.65,0.6231404005345073,0.7666299934329557,0.15483699296576436,23,4,11.0,+,50,3,8,K0IIIbFe-0.5,0.164,0.168
8781,54Alp Peg,218045,108378,-0.04,2.49,0.9370986265062028,0.26227806963620154,0.2303397021533548,23,4,45.7,+,15,12,19,B9V,0.063,-0.042
